max_depth,n_terms,n_factors,n_bits,n_h_terms,n_nodes,c_time,exp_val_time,mem_max,resulting_terms,inner
4,4,3,10,5,39,1,9,4324,1,151.51
4,4,3,10,5,41,1,9,4432,1,13.6012
4,4,3,10,5,38,1,8,4428,1,24.6426
4,5,3,10,5,61,5,30,4600,1,3729.27
4,5,3,10,5,54,3,19,4360,1,116.005
4,5,3,10,5,56,3,21,4424,1,235.075
4,5,3,10,5,64,5,34,4456,1,268.25
4,5,3,10,5,54,2,14,4396,1,116.154
4,5,3,10,5,59,3,22,4468,1,225.266
4,5,3,10,5,54,3,20,4340,1,116.068
4,5,3,10,5,55,3,18,4380,1,124.023
4,5,3,10,5,62,6,39,4548,1,442.739
4,5,3,10,5,65,7,42,4500,1,466.409
4,3,4,10,5,26,0,3,4424,1,27.4271
4,3,4,10,5,25,0,3,4420,1,20.6979
4,3,4,10,5,28,0,4,4364,1,20.2941
4,3,4,10,5,21,0,1,4380,1,21.2897
4,3,4,10,5,22,0,1,4364,1,20.6216
4,3,4,10,5,20,0,1,4332,1,33.8431
4,3,4,10,5,26,0,3,4332,1,12.099
4,3,4,10,5,24,0,2,4316,1,30.7804
4,3,4,10,5,23,0,1,4356,1,9.11061
4,3,4,10,5,18,0,1,4444,1,26.5712
4,4,4,10,5,43,2,11,4420,1,66.1508
4,4,4,10,5,46,3,15,4412,1,627.57
4,4,4,10,5,37,1,7,4388,1,25.4261
4,4,4,10,5,41,1,10,4380,1,75.5301
4,4,4,10,5,41,2,12,4468,1,141.979
4,4,4,10,5,40,1,8,4476,1,83.0307
4,4,4,10,5,45,2,15,4472,1,148.997
4,4,4,10,5,42,2,17,4352,1,113.966
4,4,4,10,5,42,1,9,4360,1,964.352
4,4,4,10,5,43,2,15,4556,1,51.5666
4,5,4,10,5,66,7,42,4452,1,1104.93
4,5,4,10,5,62,7,38,4524,1,488.431
4,5,4,10,5,61,5,30,4396,1,151.131
4,5,4,10,5,65,5,34,4460,1,197.088
4,5,4,10,5,62,5,33,4552,1,333.381
4,5,4,10,5,58,4,23,4428,1,327.576
4,5,4,10,5,67,8,48,4460,1,969.709
4,5,4,10,5,57,4,27,4452,1,424.124
4,5,4,10,5,66,9,53,4596,1,188.249
4,5,4,10,5,54,3,18,4436,1,86.8929
4,3,5,10,5,25,0,3,4468,1,10.6845
4,3,5,10,5,24,0,2,4384,1,36.4225
4,3,5,10,5,22,0,1,4440,1,16.3699
4,3,5,10,5,22,0,1,4340,1,26.3006
4,3,5,10,5,27,0,3,4372,1,23.5844
4,3,5,10,5,25,0,2,4468,1,20.1042
4,3,5,10,5,18,0,1,4460,1,36.2085
4,3,5,10,5,23,0,1,4476,1,15.4523
4,3,5,10,5,27,0,3,4476,1,45.0058
4,3,5,10,5,22,0,1,4332,1,46.3964
4,4,5,10,5,43,2,14,4516,1,143.249
4,4,5,10,5,44,2,15,4340,1,208.181
4,4,5,10,5,39,1,7,4416,1,166.452
4,4,5,10,5,38,1,9,4424,1,115.784
4,4,5,10,5,46,3,17,4468,1,272.526
4,4,5,10,5,38,1,6,4448,1,69.2976
4,4,5,10,5,47,2,16,4308,1,111.27
4,4,5,10,5,46,2,16,4444,1,11.1502
4,4,5,10,5,44,2,13,4456,1,231.017
4,4,5,10,5,40,1,9,4416,1,131.554
4,5,5,10,5,55,3,19,4316,1,78.0993
4,5,5,10,5,59,4,23,4452,1,468.568
4,5,5,10,5,58,4,27,4476,1,163.316
4,5,5,10,5,52,3,17,4324,1,167.435
4,5,5,10,5,58,5,28,4488,1,116.758
4,5,5,10,5,59,5,29,4360,1,85.6436
4,5,5,10,5,56,3,23,4452,1,235.173
4,5,5,10,5,53,2,16,4372,1,104.555
4,5,5,10,5,57,4,23,4380,1,171.374
4,5,5,10,5,63,5,36,4476,1,127.089
5,3,3,10,5,100,57,327,4756,1,420.655
5,3,3,10,5,100,122,617,5532,1,284.998
5,3,3,10,5,106,128,771,5632,1,604.961
5,3,3,10,5,121,838,4194,18748,1,9489.94
5,3,3,10,5,104,117,700,5612,1,564.538
5,3,3,10,5,99,125,697,5216,1,763.768
5,3,3,10,5,112,114,615,5020,1,867.755
5,3,3,10,5,98,561,2495,11700,1,1480.16
5,3,3,10,5,113,96,567,5232,1,493.174
5,3,3,10,5,112,374,2042,7468,1,536.4
5,4,3,10,5,189,649,3992,8656,1,5315.08
5,4,3,10,5,205,580,3403,7484,1,33054.1
5,4,3,10,5,199,1744,9826,13704,1,63515.3
5,4,3,10,5,209,1111,6604,11344,1,54338.8
5,4,3,10,5,196,421,2557,7024,1,9967.14
5,4,3,10,5,203,819,4796,7680,1,61118.7
5,4,3,10,5,191,800,4475,9300,1,133937.0
5,4,3,10,5,218,3296,18850,24248,1,82006.8
5,4,3,10,5,207,1985,11886,25532,1,322595.0
5,4,3,10,5,208,9543,55902,104188,1,652941.0
5,5,3,10,5,352,25212,128584,297940,1,6167290.0
5,5,3,10,5,326,2259,13548,10744,1,1545650.0
5,5,3,10,5,327,3015,18012,14212,1,1161000.0
5,5,3,10,5,332,1694,10119,7796,1,450589.0
5,5,3,10,5,319,4076,24440,32492,1,453004.0
5,5,3,10,5,359,13236,80502,67060,1,2732210.0
5,5,3,10,5,328,2113,12524,9988,1,44481.0
5,5,3,10,5,356,64188,250936,502064,1,421565.0
5,5,3,10,5,329,19444,114776,82740,1,3190590.0
5,5,3,10,5,354,3969,23607,14912,1,3047110.0
5,3,4,10,5,120,199,1200,6612,1,16273.9
5,3,4,10,5,111,256,1314,8476,1,5522.68
5,3,4,10,5,96,142,742,5436,1,1142.67
5,3,4,10,5,101,200,936,7384,1,389.278
5,3,4,10,5,113,757,3417,14816,1,19624.8
5,3,4,10,5,82,24,139,4580,1,213.799
5,3,4,10,5,99,26,157,4576,1,248.13
5,3,4,10,5,97,66,392,5060,1,11570.2
5,3,4,10,5,108,148,916,6136,1,12856.8
5,3,4,10,5,108,160,851,5452,1,5485.59
5,4,4,10,5,220,2173,12973,16240,1,41513.8
5,4,4,10,5,202,1321,7812,13064,1,36171.3
5,4,4,10,5,224,7419,41178,68596,1,444954.0
5,4,4,10,5,212,1335,8256,13416,1,44782.8
5,4,4,10,5,207,1186,6954,8868,1,191467.0
5,4,4,10,5,194,685,4134,7416,1,240510.0
5,4,4,10,5,209,1220,7376,14944,1,27149.1
5,4,4,10,5,184,1221,7032,12728,1,12568.8
5,4,4,10,5,198,765,4561,8508,1,241972.0
5,4,4,10,5,203,8301,49188,82608,1,46967.1
5,5,4,10,5,357,25345,128387,150976,1,2395270.0
5,5,4,10,5,327,5370,31904,27080,1,361082.0
5,5,4,10,5,331,3363,19961,14508,1,8925990.0
5,5,4,10,5,345,6959,42337,19464,1,3224090.0
5,5,4,10,5,343,11916,71319,65268,1,1749800.0
5,5,4,10,5,344,11548,70908,40048,1,3545620.0
5,5,4,10,5,344,13647,81991,66332,1,2177410.0
5,5,4,10,5,356,13470,81778,46336,1,375990.0
5,5,4,10,5,369,177420,758230,1410316,1,46429300.0
5,5,4,10,5,336,3104,18790,13628,1,402599.0
5,3,5,10,5,100,38,216,4588,1,243.435
5,3,5,10,5,130,1022,5681,18828,1,280.582
5,3,5,10,5,101,80,439,4844,1,218.672
5,3,5,10,5,106,310,1672,7192,1,1131.3
5,3,5,10,5,106,94,481,5328,1,1439.68
5,3,5,10,5,112,194,1045,5612,1,5573.91
5,3,5,10,5,101,103,622,5604,1,1648.59
5,3,5,10,5,116,229,1195,6276,1,2160.37
5,3,5,10,5,109,111,686,5460,1,7011.77
5,3,5,10,5,110,93,512,5056,1,693.748
5,4,5,10,5,195,764,4396,10168,1,13067.1
5,4,5,10,5,219,2638,15809,20708,1,19626.3
5,4,5,10,5,189,825,4896,6428,1,217777.0
5,4,5,10,5,189,558,3194,6640,1,6094.74
5,4,5,10,5,207,5518,32397,73580,1,138641.0
5,4,5,10,5,210,1520,8887,13048,1,429928.0
5,4,5,10,5,201,846,5124,7688,1,408602.0
5,4,5,10,5,229,3906,23916,20912,1,63560.5
5,4,5,10,5,201,1061,6154,10880,1,10729.1
5,4,5,10,5,206,5973,35685,71436,1,611729.0
5,5,5,10,5,327,3444,20409,16364,1,4600780.0
5,5,5,10,5,340,11145,58066,89548,1,289016.0
5,5,5,10,5,327,6606,34890,54588,1,2337540.0
5,5,5,10,5,335,3591,21532,14928,1,389793.0
5,5,5,10,5,335,7331,34361,59304,1,4881000.0
5,5,5,10,5,345,17861,72555,77784,1,2020490.0
5,5,5,10,5,354,13945,56618,88732,1,1916640.0
5,5,5,10,5,298,1699,10194,7796,1,1096870.0
5,5,5,10,5,333,5892,30768,29660,1,9318010.0
5,5,5,10,5,334,2610,12035,9628,1,7657650.0
